"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","21/186","137/18723",2.94865931815634e-19,8.57714532511544e-16,6.50116243926497e-16,"ADRB1/DLG4/GABRA5/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/MEF2C/MPP2/MTMR2/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/NTSR1/RELN/SHANK3",21
"GO:0042391","GO:0042391","regulation of membrane potential","32/186","434/18723",5.59683218604596e-19,8.57714532511544e-16,6.50116243926497e-16,"ADRB1/CAV1/CXADR/DLG1/DLG4/DMD/GABRA5/GABRB3/GABRQ/GJA1/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/MEF2C/MPP2/MTMR2/MTNR1B/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/NTSR1/RELN/RYR2/SCN1A/SHANK3/SNTA1",32
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","18/186","106/18723",1.74064479625083e-17,1.77835876683627e-14,1.34793090011424e-14,"DLG4/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/MEF2C/MPP2/MTMR2/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/NTSR1/RELN/SHANK3",18
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","30/186","439/18723",6.41223485800136e-17,3.61390078857373e-14,2.73920461591216e-14,"APBA1/BDNF/CASK/DLG4/DLGAP1/DLGAP2/DLGAP3/DLGAP4/FLOT1/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/KRAS/MEF2C/MPP2/MTMR2/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/OXTR/RELN/SHANK2/SHANK3/SLC1A1/TSHZ3",30
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","30/186","440/18723",6.82487167814887e-17,3.61390078857373e-14,2.73920461591216e-14,"APBA1/BDNF/CASK/DLG4/DLGAP1/DLGAP2/DLGAP3/DLGAP4/FLOT1/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/KRAS/MEF2C/MPP2/MTMR2/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/OXTR/RELN/SHANK2/SHANK3/SLC1A1/TSHZ3",30
"GO:0035176","GO:0035176","social behavior","14/186","52/18723",7.07452030389638e-17,3.61390078857373e-14,2.73920461591216e-14,"AVPR1A/CHD8/CIC/CNTNAP2/DLG4/NLGN3/NLGN4X/NRXN1/NRXN2/NRXN3/OXTR/PTCHD1/SHANK2/SHANK3",14
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms","14/186","54/18723",1.27571549079778e-16,5.29784684279282e-14,4.01557413309651e-14,"AVPR1A/CHD8/CIC/CNTNAP2/DLG4/NLGN3/NLGN4X/NRXN1/NRXN2/NRXN3/OXTR/PTCHD1/SHANK2/SHANK3",14
"GO:0060079","GO:0060079","excitatory postsynaptic potential","17/186","100/18723",1.38279852340433e-16,5.29784684279282e-14,4.01557413309651e-14,"DLG4/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/MEF2C/MPP2/MTMR2/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/RELN/SHANK3",17
"GO:0034329","GO:0034329","cell junction assembly","29/186","420/18723",1.69152903293033e-16,5.76059609547939e-14,4.36632114114296e-14,"BDNF/CAV1/CDH10/CNTNAP2/CTNNA1/DLG1/DLG5/ERBB4/FLOT1/GABRB3/GJA1/IL1RAPL1/LRRN3/LRRTM3/MEF2C/MPDZ/MPP7/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/NRXN2/OCLN/OXTR/PARD3/PKP4/SHANK2/SHANK3",29
"GO:0050808","GO:0050808","synapse organization","29/186","426/18723",2.46335202836706e-16,7.55017396694504e-14,5.72275571221695e-14,"BDNF/CTTNBP2/DIP2A/DLG1/DLG3/DLG4/DLG5/DLGAP3/ERBB4/GABRB3/GRIN2B/IL1RAPL1/LRRN3/LRRTM3/MEF2C/MTMR2/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/NRXN2/OXTR/PALM/RELN/SHANK2/SHANK3/SLC1A1/SNTA1",29
