"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099572","GO:0099572","postsynaptic specialization","40/192","356/19550",8.06936145477311e-31,2.40466971352239e-28,1.55441383812998e-28,"CDH10/DLG1/DLG2/DLG3/DLG4/DLG5/DLGAP1/DLGAP2/DLGAP3/DLGAP4/DTNB/EPB41/ERBB4/GABRA5/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/LIN7A/LIN7B/LIN7C/LRRTM3/LYN/MAGI2/MPDZ/MPP2/MTMR2/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NOS1/PALM/PKP4/PSD3/SCRIB/SHANK2/SHANK3",40
"GO:0098984","GO:0098984","neuron to neuron synapse","39/192","361/19550",2.17106394292136e-29,3.23488527495283e-27,2.09107737660321e-27,"DLG1/DLG2/DLG3/DLG4/DLG5/DLGAP1/DLGAP2/DLGAP3/DTNB/EPB41/ERBB4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/LIN7A/LIN7B/LIN7C/LRRTM3/LYN/MAGI2/MPDZ/MPP2/MTMR2/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NOS1/NTSR1/PALM/PKP4/PSD3/SCRIB/SHANK2/SHANK3/SLC1A1",39
"GO:0032279","GO:0032279","asymmetric synapse","37/192","335/19550",3.10535514309614e-28,3.0846527754755e-26,1.99396488135647e-26,"DLG1/DLG2/DLG3/DLG4/DLG5/DLGAP1/DLGAP2/DLGAP3/DTNB/EPB41/ERBB4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/LIN7A/LIN7B/LIN7C/LRRTM3/LYN/MAGI2/MPDZ/MPP2/MTMR2/NETO1/NLGN1/NLGN3/NLGN4X/NOS1/PALM/PKP4/PSD3/SCRIB/SHANK2/SHANK3/SLC1A1",37
"GO:0014069","GO:0014069","postsynaptic density","35/192","330/19550",4.1058594004468e-26,2.58004668412468e-24,1.66778008899617e-24,"DLG1/DLG2/DLG3/DLG4/DLG5/DLGAP1/DLGAP2/DLGAP3/DTNB/EPB41/ERBB4/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/LIN7A/LIN7B/LIN7C/LRRTM3/LYN/MAGI2/MPDZ/MPP2/MTMR2/NETO1/NLGN1/NLGN4X/NOS1/PALM/PKP4/PSD3/SCRIB/SHANK2/SHANK3",35
"GO:0097060","GO:0097060","synaptic membrane","37/192","384/19550",4.32893738947094e-26,2.58004668412468e-24,1.66778008899617e-24,"APBA1/CASK/CDH10/DLG1/DLG2/DLG4/DMD/ERBB4/GABRA5/GABRB3/GABRQ/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/IL1RAPL1/ITGB3/KCNJ4/LIN7A/LIN7B/LIN7C/LRRTM3/MTMR2/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/PALM/SCRIB/SHANK2/SHANK3/SNTA1/UTRN",37
"GO:0045211","GO:0045211","postsynaptic membrane","32/192","277/19550",4.44385898888854e-25,2.20711663114797e-23,1.42671262274842e-23,"CDH10/DLG1/DLG2/DLG4/DMD/ERBB4/GABRA5/GABRB3/GABRQ/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/IL1RAPL1/ITGB3/KCNJ4/LIN7A/LIN7B/LIN7C/LRRTM3/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/SCRIB/SHANK2/SHANK3/SNTA1/UTRN",32
"GO:0099634","GO:0099634","postsynaptic specialization membrane","19/192","117/19550",4.30600495500559e-18,1.83312782370238e-16,1.18496076205417e-16,"CDH10/DLG1/DLG2/DLG4/ERBB4/GABRA5/GRIN2A/GRIN2B/GRIN2C/LIN7A/LIN7B/LIN7C/LRRTM3/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/SCRIB",19
"GO:0098978","GO:0098978","glutamatergic synapse","25/192","338/19550",4.06688249740413e-15,1.51491373028304e-13,9.79262496085469e-14,"APBA1/CDH10/CTTNBP2/DLG1/DLG3/DLG4/DLGAP1/DLGAP2/DLGAP3/DLGAP4/ERBB4/FLOT1/GRIN2A/GRIN2C/GRIN3A/IL1RAPL1/ITGB3/LIN7C/LRRTM3/LYN/NETO1/NLGN1/NLGN3/NLGN4X/SCRIB",25
"GO:0005911","GO:0005911","cell-cell junction","28/192","494/19550",6.72871083269875e-14,2.22795092016025e-12,1.44018021331447e-12,"CASK/CDC42BPA/CDH10/CNTNAP2/CTNNA1/CXADR/DLG1/DLG3/DLG5/FLOT1/FRS2/GAB1/GJA1/IQGAP3/ITGB3/LIN7A/LIN7B/LIN7C/LYN/MAGI2/MPDZ/MPP7/OCLN/OXTR/PARD3/PCDH9/PKP4/SCRIB",28
"GO:0098839","GO:0098839","postsynaptic density membrane","14/192","89/19550",1.93087306128802e-13,5.7540017226383e-12,3.7194712654285e-12,"DLG1/DLG2/DLG4/ERBB4/GRIN2A/GRIN2B/GRIN2C/LIN7A/LIN7B/LIN7C/LRRTM3/NETO1/NLGN4X/SCRIB",14
