"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030165","GO:0030165","PDZ domain binding","16/184","84/18368",1.87489180897216e-16,8.19327720520835e-14,6.71013910579511e-14,"ADRB1/CXADR/DLG3/DLG4/DTNA/GJA1/KCNJ4/LIN7B/LIN7C/MPP3/NLGN1/PLEKHA1/PLEKHA2/SNTA1/SNTB1/SNTG2",16
"GO:0015276","GO:0015276","ligand-gated ion channel activity","12/184","143/18368",2.16303782271801e-08,3.15082509509257e-06,2.58046617447061e-06,"GABRA5/GABRB3/GABRQ/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/KCNJ12/KCNJ4/RYR2",12
"GO:0022834","GO:0022834","ligand-gated channel activity","12/184","143/18368",2.16303782271801e-08,3.15082509509257e-06,2.58046617447061e-06,"GABRA5/GABRB3/GABRQ/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/KCNJ12/KCNJ4/RYR2",12
"GO:0005230","GO:0005230","extracellular ligand-gated ion channel activity","9/184","73/18368",4.6699712081815e-08,5.10194354493829e-06,4.17839529153082e-06,"GABRA5/GABRB3/GABRQ/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A",9
"GO:0022824","GO:0022824","transmitter-gated ion channel activity","8/184","60/18368",1.42810094532192e-07,1.0401335218428e-05,8.51849686683249e-06,"GABRA5/GABRB3/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A",8
"GO:0022835","GO:0022835","transmitter-gated channel activity","8/184","60/18368",1.42810094532192e-07,1.0401335218428e-05,8.51849686683249e-06,"GABRA5/GABRB3/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A",8
"GO:0030594","GO:0030594","neurotransmitter receptor activity","10/184","111/18368",1.71235239699694e-07,1.06899713926809e-05,8.75488443577385e-06,"ADRB1/GABRA5/GABRB3/GABRQ/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A",10
"GO:0035255","GO:0035255","ionotropic glutamate receptor binding","6/184","27/18368",2.31438616659797e-07,1.26423344350414e-05,1.03538328505699e-05,"DLG3/DLG4/FLOT1/NETO1/SHANK2/SHANK3",6
"GO:0042043","GO:0042043","neurexin family protein binding","5/184","15/18368",2.64472937006377e-07,1.28416303857541e-05,1.05170524657507e-05,"CASK/NLGN1/NLGN2/NLGN3/NLGN4X",5
"GO:0004970","GO:0004970","ionotropic glutamate receptor activity","5/184","19/18368",9.91272056206436e-07,3.98466981753394e-05,3.26336923512354e-05,"GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A",5
"GO:0060090","GO:0060090","molecular adaptor activity","16/184","369/18368",1.00300613256003e-06,3.98466981753394e-05,3.26336923512354e-05,"CAV1/DLG1/DLG5/DLGAP1/DLGAP2/DLGAP3/DLGAP4/FRS2/KHDRBS1/LAMTOR1/MAGI2/MPP7/SHANK2/SHANK3/STX7/WWC1",16
"GO:0097110","GO:0097110","scaffold protein binding","7/184","67/18368",4.72976020274927e-06,0.000172242100716786,0.000141063023590768,"DLG4/LYN/NLGN1/NLGN3/NLGN4X/NOS1/SHANK3",7
"GO:0099604","GO:0099604","ligand-gated calcium channel activity","5/184","26/18368",5.29744673799333e-06,0.00017435532586803,0.000142793715031025,"GRIN1/GRIN2A/GRIN2B/GRIN2C/RYR2",5
