"","ID","Description","Count","GeneRatio","geneID"
"GO:0000146","GO:0000146","microfilament motor activity",0,"0/195",""
"GO:0003777","GO:0003777","microtubule motor activity",1,"1/195","KIF26B"
"GO:0061791","GO:0061791","GTPase motor activity",0,"0/195",""
"GO:0140605","GO:0140605","proton motive force-driven motor activity",0,"0/195",""
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/195",""
"GO:0009975","GO:0009975","cyclase activity",1,"1/195","GUCY1A2"
"GO:0016491","GO:0016491","oxidoreductase activity",8,"8/195","DHCR24/DIO2/DIO3/DPYD/NOS1/PAH/TET1/TET3"
"GO:0016740","GO:0016740","transferase activity",16,"16/195","CASK/CDC42BPA/DLG1/DLG2/DNMT3A/DNMT3B/ERBB4/LCK/LYN/MARK2/MARK3/NSUN2/RPS6KA1/TRIP12/UPP2/ZDHHC5"
"GO:0016787","GO:0016787","hydrolase activity",21,"21/195","CA2/CHD2/CHD8/DDHD1/DIRAS3/DLG1/DPP10/DPP6/DUSP10/EPHX2/IL1RAPL1/KRAS/LCK/MTMR2/NRAS/PLCH1/PTPN13/RAB35/RELN/RHOB/TNS3"
"GO:0016829","GO:0016829","lyase activity",2,"2/195","CA2/GUCY1A2"
"GO:0016853","GO:0016853","isomerase activity",1,"1/195","ITGB3"
"GO:0016874","GO:0016874","ligase activity",1,"1/195","DIP2A"
"GO:0032451","GO:0032451","demethylase activity",1,"1/195","JARID2"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/195",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",20,"20/195","CASK/CDC42BPA/DLG1/DNMT3A/DPP10/DPP6/DUSP10/ERBB4/ITGB3/JARID2/LCK/LYN/MARK2/MARK3/MTMR2/PTPN13/RELN/RPS6KA1/TRIP12/ZDHHC5"
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid",5,"5/195","CHD2/CHD8/DNMT3A/DNMT3B/NSUN2"
"GO:0003735","GO:0003735","structural constituent of ribosome",0,"0/195",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/195",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",2,"2/195","DMD/EPB41"
"GO:0005201","GO:0005201","extracellular matrix structural constituent",0,"0/195",""
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/195",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/195",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/195",""
"GO:0008307","GO:0008307","structural constituent of muscle",1,"1/195","DMD"
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/195",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/195",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/195",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/195",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/195",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/195",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/195",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/195",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/195",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/195",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/195",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/195",""
"GO:0098918","GO:0098918","structural constituent of synapse",2,"2/195","DLG1/DLG3"
"GO:0005319","GO:0005319","lipid transporter activity",0,"0/195",""
"GO:0022857","GO:0022857","transmembrane transporter activity",19,"19/195","GABRA5/GABRB3/GABRQ/GJA1/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/KCNA4/KCNJ12/KCNJ4/RYR2/SCN1A/SLC16A2/SLC19A1/SLC1A1/UNC80"
"GO:0140318","GO:0140318","protein transporter activity",0,"0/195",""
"GO:0000035","GO:0000035","acyl binding",0,"0/195",""
"GO:0003682","GO:0003682","chromatin binding",8,"8/195","CHD8/DLX1/DNMT3A/DNMT3B/JARID2/SIN3A/SOX9/TSHZ3"
"GO:0003823","GO:0003823","antigen binding",1,"1/195","DHCR24"
