"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990778","GO:1990778","protein localization to cell periphery","26/176","333/18723",9.28318376651947e-17,2.50274634345365e-13,1.93285657791321e-13,"GRIN2A/DLG1/LIN7A/LIN7B/LIN7C/GRIN2C/FLOT1/EPB41/EFR3B/SCRIB/CAV1/ZDHHC5/EFR3A/PALM/STX7/HRAS/NUMB/ARF6/STX4/ANK3/EZR/RAB11A/CDH1/EPHA2/FLOT2/ITGB1",26
"GO:0045216","GO:0045216","cell-cell junction organization","21/176","200/18723",2.64670400042719e-16,3.56775699257585e-13,2.75535816465525e-13,"NLGN2/DLG1/MPP7/MPDZ/CTNNA1/OCLN/PARD3/CXADR/PKP4/CAV1/GJA1/DLG5/GJD3/NUMB/LSR/DSG2/CTNND1/MARVELD2/CDH1/EPHA2/FERMT2",21
"GO:0006836","GO:0006836","neurotransmitter transport","20/176","208/18723",7.80292924752514e-15,4.88067670094146e-12,3.76931848917e-12,"NLGN1/LIN7A/CASK/LIN7B/LIN7C/APBA1/NOS1/GRIN3A/FLOT1/DNAJC5/SCRIB/SLC30A1/SNAP23/SLC6A8/SLC38A2/STX4/SLC6A15/SLC38A1/RAB5A/ITGB1",20
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","27/176","439/18723",8.563174757668e-15,4.88067670094146e-12,3.76931848917e-12,"NLGN1/NLGN2/DLGAP2/DLGAP1/GRIN2A/DLGAP4/CASK/APBA1/MPP2/MTMR2/GRIN1/GRIN3A/NETO1/DLGAP3/SHANK2/GRIN2C/FLOT1/KRAS/HRAS/SLC30A1/STX4/SLC12A2/RAB11A/ROR2/CDH1/RAB5A/ITGB1",27
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","27/176","440/18723",9.05170011302199e-15,4.88067670094146e-12,3.76931848917e-12,"NLGN1/NLGN2/DLGAP2/DLGAP1/GRIN2A/DLGAP4/CASK/APBA1/MPP2/MTMR2/GRIN1/GRIN3A/NETO1/DLGAP3/SHANK2/GRIN2C/FLOT1/KRAS/HRAS/SLC30A1/STX4/SLC12A2/RAB11A/ROR2/CDH1/RAB5A/ITGB1",27
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","20/176","218/18723",1.92603523331514e-14,8.65431831502935e-12,6.68368016052165e-12,"DLG2/DLG3/DLG1/LIN7A/LIN7B/LIN7C/MPP7/KIF26B/WWC1/CTNNA1/PARD3/RHOB/SCRIB/GJA1/MARK2/LLGL1/DLG5/ARF6/FLOT2/ITGB1",20
"GO:0034329","GO:0034329","cell junction assembly","26/176","420/18723",2.41826991478036e-14,9.3137938432112e-12,7.19298931042939e-12,"NLGN1/NLGN2/DLG1/MPP7/ERBB4/MPDZ/SHANK2/CTNNA1/FLOT1/OCLN/PARD3/PKP4/CAV1/GJA1/DLG5/EFNB2/GJD3/LSR/ARF6/CTNND1/MAP4K4/PEAK1/MARVELD2/CDH1/EPHA2/FERMT2",26
"GO:1902414","GO:1902414","protein localization to cell junction","13/176","94/18723",4.45111064297131e-12,1.50002428668133e-09,1.15846011207859e-09,"NLGN1/NLGN2/DLG2/GRIN2A/DLG1/MPP7/GRIN2C/SCRIB/DLG5/HRAS/LSR/RAB11A/FERMT2",13
"GO:0045197","GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","10/176","44/18723",7.84279267493642e-12,2.12755895866206e-09,1.64310152281491e-09,"DLG2/DLG3/DLG1/LIN7A/LIN7B/LIN7C/PARD3/SCRIB/MARK2/DLG5",10
"GO:0007043","GO:0007043","cell-cell junction assembly","15/176","146/18723",7.89153916417679e-12,2.12755895866206e-09,1.64310152281491e-09,"DLG1/MPP7/MPDZ/CTNNA1/OCLN/PARD3/PKP4/CAV1/GJA1/DLG5/GJD3/LSR/CTNND1/MARVELD2/EPHA2",15
