"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030165","GO:0030165","PDZ domain binding","16/178","84/18368",1.10063365946792e-16,4.14938889619404e-14,2.79213380980808e-14,"NLGN1/DLG3/KCNJ4/LIN7B/LIN7C/SNTA1/SNTB1/DTNA/PLEKHA2/MPP3/ADRB1/PLEKHA1/CXADR/GJA1/ATP2B1/KIDINS220",16
"GO:0019003","GO:0019003","GDP binding","12/178","75/18368",7.25989638424009e-12,1.36849046842926e-09,9.20860541369401e-10,"KRAS/RHOB/RAB35/DIRAS3/NRAS/HRAS/ARF6/RAB2A/RAB5C/RAB5A/RAB9A/RAB4A",12
"GO:0060090","GO:0060090","molecular adaptor activity","20/178","369/18368",5.27057043118612e-10,6.62335017519056e-08,4.45686832952932e-08,"DLGAP2/DLGAP1/KHDRBS1/DLG1/DLGAP4/MPP7/WWC1/MAGI2/DLGAP3/SHANK2/FRS2/CAV1/DLG5/STX7/LAMTOR1/STX6/SNAP23/STX4/ANK3/YKT6",20
"GO:0046873","GO:0046873","metal ion transmembrane transporter activity","20/178","430/18368",7.2917431641916e-09,6.87246793225058e-07,4.62450026992151e-07,"GRIN2A/KCNJ12/KCNJ4/KCNA4/GRIN1/GRIN3A/GRIN2C/SLC30A1/SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/ATP2B1/SLC39A6/SLC39A14/SLC38A1/PANX1/SLC3A2/SLC39A10",20
"GO:0045296","GO:0045296","cadherin binding","17/178","332/18368",2.59225450320539e-08,1.95455989541686e-06,1.31522807425789e-06,"DLG1/CTNNAL1/MPP7/CTNNA1/PKP4/SCRIB/MARK2/NUMB/PPFIBP1/CTNND1/ANK3/EZR/CDH1/EPHA2/SLC3A2/ITGB1/YKT6",17
"GO:0003925","GO:0003925","G protein activity","7/178","40/18368",1.01519700339699e-07,6.37882117134441e-06,4.29232417225744e-06,"KRAS/NRAS/HRAS/RAB11A/RAB5C/RAB5A/RAB4A",7
"GO:0035255","GO:0035255","ionotropic glutamate receptor binding","6/178","27/18368",1.90282287081936e-07,1.02480603185557e-05,6.89594453936039e-06,"DLG3/NETO1/SHANK2/FLOT1/FLOT2/RAB4A",6
"GO:0003779","GO:0003779","actin binding","18/178","441/18368",3.02490366182479e-07,1.42548585063493e-05,9.5921287171023e-06,"SNTB2/SNTA1/DMD/SNTB1/UTRN/SNTG1/CTNNAL1/TNS1/CTNNA1/ABLIM1/EPB41/MARCKS/PHACTR4/ADD3/EZR/PANX1/FERMT2/ITGB1",18
"GO:0035254","GO:0035254","glutamate receptor binding","6/178","47/18368",5.87823327242843e-06,0.000246232660411724,0.000165690551889503,"DLG3/NETO1/SHANK2/FLOT1/FLOT2/RAB4A",6
"GO:0030674","GO:0030674","protein-macromolecule adaptor activity","13/178","296/18368",6.53735923566479e-06,0.000246458443184563,0.000165842481662654,"KHDRBS1/MPP7/MAGI2/SHANK2/FRS2/CAV1/DLG5/STX7/STX6/SNAP23/STX4/ANK3/YKT6",13
