"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035176","GO:0035176","social behavior","13/84","52/18723",6.2317269639376e-20,1.15058249055872e-16,8.84910438785805e-17,"AVPR1A/DLG4/OXTR/NRXN3/NRXN1/NRXN2/CIC/CNTNAP2/NLGN3/NLGN4X/CHD8/SHANK3/PTCHD1",13
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms","13/84","54/18723",1.07985217321325e-19,1.15058249055872e-16,8.84910438785805e-17,"AVPR1A/DLG4/OXTR/NRXN3/NRXN1/NRXN2/CIC/CNTNAP2/NLGN3/NLGN4X/CHD8/SHANK3/PTCHD1",13
"GO:0007611","GO:0007611","learning or memory","18/84","255/18723",6.07584570396019e-17,4.31587573171305e-14,3.3193304424793e-14,"BDNF/DLG4/GABRA5/GRIN2B/MEF2C/NTSR1/OXTR/RELN/SLC1A1/NRXN3/NRXN1/NRXN2/CIC/CNTNAP2/NLGN3/NLGN4X/SHANK3/PTCHD1",18
"GO:0050890","GO:0050890","cognition","18/84","296/18723",8.44473352201464e-16,4.4989317838533e-13,3.46011844573073e-13,"BDNF/DLG4/GABRA5/GRIN2B/MEF2C/NTSR1/OXTR/RELN/SLC1A1/NRXN3/NRXN1/NRXN2/CIC/CNTNAP2/NLGN3/NLGN4X/SHANK3/PTCHD1",18
"GO:0071625","GO:0071625","vocalization behavior","8/84","20/18723",1.40612996572915e-14,5.99292591393764e-12,4.60914601397955e-12,"DLG4/NRXN3/NRXN1/NRXN2/CNTNAP2/NLGN3/NLGN4X/SHANK3",8
"GO:0007612","GO:0007612","learning","13/84","144/18723",7.45561132089071e-14,2.64798462080302e-11,2.03655909239067e-11,"DLG4/GABRA5/NTSR1/RELN/SLC1A1/NRXN3/NRXN1/NRXN2/CIC/CNTNAP2/NLGN3/NLGN4X/SHANK3",13
"GO:0050808","GO:0050808","synapse organization","18/84","426/18723",4.48607619815037e-13,1.36568976832263e-10,1.05034896849927e-10,"BDNF/DLG4/GABRB3/GRIN2B/MEF2C/OXTR/RELN/SLC1A1/NRXN1/NRXN2/IL1RAPL1/DIP2A/NLGN3/LRRN3/NLGN4X/CTTNBP2/SHANK3/LRRTM3",18
"GO:0007416","GO:0007416","synapse assembly","12/84","179/18723",2.50015402747075e-11,5.98421684465455e-09,4.60244788813117e-09,"BDNF/GABRB3/MEF2C/OXTR/NRXN1/NRXN2/IL1RAPL1/NLGN3/LRRN3/NLGN4X/SHANK3/LRRTM3",12
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","11/84","137/18723",2.52735577671943e-11,5.98421684465455e-09,4.60244788813117e-09,"DLG4/GABRA5/GLRA2/GRIN2B/MEF2C/NTSR1/RELN/NRXN1/NLGN3/NLGN4X/SHANK3",11
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","10/84","106/18723",4.27559798290605e-11,9.11129930157279e-09,7.00748006251023e-09,"DLG4/GLRA2/GRIN2B/MEF2C/NTSR1/RELN/NRXN1/NLGN3/NLGN4X/SHANK3",10
"GO:0042391","GO:0042391","regulation of membrane potential","16/84","434/18723",7.9669882393452e-11,1.5434229034586e-08,1.18704312810148e-08,"DLG4/GABRA5/GABRB3/GLRA2/GRIN2B/MEF2C/MTNR1B/NTSR1/RELN/RYR2/SCN1A/NRXN1/NLGN3/GABRQ/NLGN4X/SHANK3",16
