"","ID","Description","Count","GeneRatio","geneID"
"GO:0019953","GO:0019953","sexual reproduction",6,"6/85","AVPR1A/DNMT3A/MTNR1A/OXTR/SOX9/NSUN2"
"GO:0019954","GO:0019954","asexual reproduction",0,"0/85",""
"GO:0022414","GO:0022414","reproductive process",9,"9/85","AVPR1A/DHCR24/DNMT3A/HFE/MTNR1A/OXTR/SOX9/HEY1/NSUN2"
"GO:0032504","GO:0032504","multicellular organism reproduction",6,"6/85","AVPR1A/DNMT3A/MTNR1A/OXTR/SOX9/NSUN2"
"GO:0032505","GO:0032505","reproduction of a single-celled organism",0,"0/85",""
"GO:0075325","GO:0075325","spore dispersal",0,"0/85",""
"GO:0001776","GO:0001776","leukocyte homeostasis",1,"1/85","MEF2C"
"GO:0002200","GO:0002200","somatic diversification of immune receptors",0,"0/85",""
"GO:0002252","GO:0002252","immune effector process",2,"2/85","HFE/FOXP1"
"GO:0002253","GO:0002253","activation of immune response",3,"3/85","MEF2C/SIN3A/FOXP1"
"GO:0002262","GO:0002262","myeloid cell homeostasis",0,"0/85",""
"GO:0002339","GO:0002339","B cell selection",0,"0/85",""
"GO:0002404","GO:0002404","antigen sampling in mucosal-associated lymphoid tissue",0,"0/85",""
"GO:0002440","GO:0002440","production of molecular mediator of immune response",1,"1/85","HFE"
"GO:0002507","GO:0002507","tolerance induction",0,"0/85",""
"GO:0002520","GO:0002520","immune system development",7,"7/85","CA2/CHD2/JARID2/MEF2C/SIN3A/FOXP1/ROGDI"
"GO:0002682","GO:0002682","regulation of immune system process",6,"6/85","CA2/HFE/MEF2C/SOX9/SIN3A/FOXP1"
"GO:0002683","GO:0002683","negative regulation of immune system process",2,"2/85","HFE/SOX9"
"GO:0002684","GO:0002684","positive regulation of immune system process",4,"4/85","CA2/MEF2C/SIN3A/FOXP1"
"GO:0006955","GO:0006955","immune response",4,"4/85","HFE/MEF2C/SIN3A/FOXP1"
"GO:0019882","GO:0019882","antigen processing and presentation",1,"1/85","HFE"
"GO:0031294","GO:0031294","lymphocyte costimulation",0,"0/85",""
"GO:0035172","GO:0035172","hemocyte proliferation",0,"0/85",""
"GO:0042386","GO:0042386","hemocyte differentiation",0,"0/85",""
"GO:0045058","GO:0045058","T cell selection",0,"0/85",""
"GO:0045321","GO:0045321","leukocyte activation",3,"3/85","HFE/MEF2C/FOXP1"
"GO:0050900","GO:0050900","leukocyte migration",0,"0/85",""
"GO:0090713","GO:0090713","immunological memory process",0,"0/85",""
"GO:0006792","GO:0006792","regulation of sulfur utilization",0,"0/85",""
"GO:0045882","GO:0045882","negative regulation of sulfur utilization",0,"0/85",""
"GO:0045883","GO:0045883","positive regulation of sulfur utilization",0,"0/85",""
"GO:0006795","GO:0006795","regulation of phosphorus utilization",0,"0/85",""
"GO:0045942","GO:0045942","negative regulation of phosphorus utilization",0,"0/85",""
"GO:0045949","GO:0045949","positive regulation of phosphorus utilization",0,"0/85",""
"GO:0002118","GO:0002118","aggressive behavior",1,"1/85","AVPR1A"
"GO:0002209","GO:0002209","behavioral defense response",3,"3/85","GABRA5/MEF2C/SLC1A1"
"GO:0002210","GO:0002210","behavioral response to wounding",0,"0/85",""
"GO:0007611","GO:0007611","learning or memory",18,"18/85","BDNF/DLG4/GABRA5/GRIN2B/MEF2C/NTSR1/OXTR/RELN/SLC1A1/NRXN3/NRXN1/NRXN2/CIC/CNTNAP2/NLGN3/NLGN4X/SHANK3/PTCHD1"
"GO:0007622","GO:0007622","rhythmic behavior",1,"1/85","MTNR1B"
"GO:0007625","GO:0007625","grooming behavior",3,"3/85","AVPR1A/DLG4/SLC1A1"
"GO:0007626","GO:0007626","locomotory behavior",4,"4/85","DLG4/NTSR1/RELN/SLC1A1"
"GO:0007631","GO:0007631","feeding behavior",1,"1/85","OXTR"
"GO:0007632","GO:0007632","visual behavior",0,"0/85",""
"GO:0007635","GO:0007635","chemosensory behavior",0,"0/85",""
"GO:0007638","GO:0007638","mechanosensory behavior",4,"4/85","NRXN1/NRXN2/CNTNAP2/SHANK3"
"GO:0019098","GO:0019098","reproductive behavior",3,"3/85","AVPR1A/MTNR1A/OXTR"
"GO:0030534","GO:0030534","adult behavior",9,"9/85","NTSR1/SLC1A1/NRXN3/NRXN1/NRXN2/CNTNAP2/NLGN3/NLGN4X/SHANK3"
"GO:0030537","GO:0030537","larval behavior",0,"0/85",""
"GO:0032537","GO:0032537","host-seeking behavior",0,"0/85",""
"GO:0035176","GO:0035176","social behavior",13,"13/85","AVPR1A/DLG4/OXTR/NRXN3/NRXN1/NRXN2/CIC/CNTNAP2/NLGN3/NLGN4X/CHD8/SHANK3/PTCHD1"
"GO:0035187","GO:0035187","hatching behavior",0,"0/85",""
"GO:0035640","GO:0035640","exploration behavior",1,"1/85","DLG4"
"GO:0040040","GO:0040040","thermosensory behavior",0,"0/85",""
"GO:0042630","GO:0042630","behavioral response to water deprivation",0,"0/85",""
"GO:0048266","GO:0048266","behavioral response to pain",0,"0/85",""
"GO:0048520","GO:0048520","positive regulation of behavior",2,"2/85","MEF2C/MTNR1B"
"GO:0048521","GO:0048521","negative regulation of behavior",0,"0/85",""
"GO:0050795","GO:0050795","regulation of behavior",4,"4/85","DLG4/MEF2C/MTNR1B/RELN"
"GO:0051780","GO:0051780","behavioral response to nutrient",0,"0/85",""
"GO:0051867","GO:0051867","general adaptation syndrome, behavioral process",0,"0/85",""
"GO:0060273","GO:0060273","crying behavior",0,"0/85",""
"GO:0060756","GO:0060756","foraging behavior",0,"0/85",""
"GO:0061744","GO:0061744","motor behavior",1,"1/85","SLC1A1"
"GO:0071625","GO:0071625","vocalization behavior",8,"8/85","DLG4/NRXN3/NRXN1/NRXN2/CNTNAP2/NLGN3/NLGN4X/SHANK3"
"GO:0120318","GO:0120318","olfactory sociosexual communication",0,"0/85",""
"GO:0006734","GO:0006734","NADH metabolic process",0,"0/85",""
"GO:0006739","GO:0006739","NADP metabolic process",0,"0/85",""
"GO:0006807","GO:0006807","nitrogen compound metabolic process",49,"49/85","BDNF/CHD2/CIRBP/DHCR24/DIO2/DIO3/DLG4/DLX1/DNMT3A/DNMT3B/DPP6/DPYD/EN2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/PAH/RELN/RARB/SFSWAP/SLC1A1/SLC16A2/SOX5/SOX9/TBL1X/NEMF/TRIP12/RAI1/MYT1L/CIC/DIP2A/HEY1/SIN3A/FOXP1/FEV/NSUN2/TSHZ3/DPP10/CHD8/TET1/CEP41/IQGAP3/UPP2/TET3/DIPK2A/LRRTM3"
"GO:0009056","GO:0009056","catabolic process",17,"17/85","CIRBP/DIO2/DIO3/DPYD/EPHX2/HFE/NTSR1/PAH/SOX9/TBL1X/NEMF/TRIP12/NSUN2/TET1/DDHD1/UPP2/TET3"
"GO:0009058","GO:0009058","biosynthetic process",37,"37/85","AVPR1A/CHD2/CIRBP/DHCR24/DIO2/DIO3/DLX1/DNMT3A/DNMT3B/DPYD/EN2/GTF2I/HFE/JARID2/MEF2C/NTSR1/PAH/RELN/RARB/SLC1A1/SOX5/SOX9/TBL1X/NEMF/RAI1/MYT1L/CIC/DIP2A/HEY1/SIN3A/FOXP1/FEV/TSHZ3/CHD8/TET1/UPP2/TET3"
"GO:0009892","GO:0009892","negative regulation of metabolic process",27,"27/85","CIRBP/DHCR24/DLG4/DLX1/DNMT3A/DNMT3B/HFE/ITGB3/JARID2/MEF2C/RARB/SFSWAP/SOX9/TBL1X/TRIP12/MYT1L/CIC/DIP2A/HEY1/SIN3A/FOXP1/NSUN2/TSHZ3/CHD8/TET1/IQGAP3/MIR486-1"
"GO:0009893","GO:0009893","positive regulation of metabolic process",34,"34/85","AVPR1A/BDNF/CIRBP/DIO2/DLG4/DLX1/DNMT3B/EN2/EPHX2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/NTSR1/OXTR/RELN/RARB/SLC1A1/SOX9/TBL1X/RAI1/DIP2A/HEY1/SIN3A/FOXP1/FEV/CHD8/TET1/IQGAP3/TET3/DIPK2A/LRRTM3"
"GO:0016999","GO:0016999","antibiotic metabolic process",0,"0/85",""
"GO:0018933","GO:0018933","nicotine metabolic process",0,"0/85",""
"GO:0019222","GO:0019222","regulation of metabolic process",46,"46/85","AVPR1A/BDNF/CHD2/CIRBP/DHCR24/DIO2/DLG4/DLX1/DNMT3A/DNMT3B/EN2/EPHX2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/NTSR1/OXTR/RELN/RARB/SFSWAP/SLC1A1/SOX5/SOX9/TBL1X/NEMF/TRIP12/RAI1/MYT1L/CIC/DIP2A/HEY1/SIN3A/FOXP1/FEV/NSUN2/TSHZ3/CHD8/TET1/IQGAP3/TET3/DIPK2A/LRRTM3/MIR486-1"
