"","ID","Description","Count","GeneRatio","geneID"
"GO:0005584","GO:0005584","collagen type I trimer",0,"0/85",""
"GO:0005585","GO:0005585","collagen type II trimer",0,"0/85",""
"GO:0005586","GO:0005586","collagen type III trimer",0,"0/85",""
"GO:0005588","GO:0005588","collagen type V trimer",0,"0/85",""
"GO:0005592","GO:0005592","collagen type XI trimer",0,"0/85",""
"GO:1990323","GO:1990323","collagen type XXIV trimer",0,"0/85",""
"GO:1990325","GO:1990325","collagen type XXVII trimer",0,"0/85",""
"GO:0005594","GO:0005594","collagen type IX trimer",0,"0/85",""
"GO:0005595","GO:0005595","collagen type XII trimer",0,"0/85",""
"GO:0005596","GO:0005596","collagen type XIV trimer",0,"0/85",""
"GO:0005597","GO:0005597","collagen type XVI trimer",0,"0/85",""
"GO:1990318","GO:1990318","collagen type XIX trimer",0,"0/85",""
"GO:1990319","GO:1990319","collagen type XX trimer",0,"0/85",""
"GO:1990320","GO:1990320","collagen type XXI trimer",0,"0/85",""
"GO:1990321","GO:1990321","collagen type XXII trimer",0,"0/85",""
"GO:0005591","GO:0005591","collagen type VIII trimer",0,"0/85",""
"GO:0005599","GO:0005599","collagen type X trimer",0,"0/85",""
"GO:0005590","GO:0005590","collagen type VII trimer",0,"0/85",""
"GO:0005600","GO:0005600","collagen type XIII trimer",0,"0/85",""
"GO:0030937","GO:0030937","collagen type XVII trimer",0,"0/85",""
"GO:1990322","GO:1990322","collagen type XXIII trimer",0,"0/85",""
"GO:1990327","GO:1990327","collagen type XXV trimer",0,"0/85",""
"GO:0005587","GO:0005587","collagen type IV trimer",0,"0/85",""
"GO:0030935","GO:0030935","sheet-forming collagen trimer",0,"0/85",""
"GO:0005582","GO:0005582","collagen type XV trimer",0,"0/85",""
"GO:0030938","GO:0030938","collagen type XVIII trimer",0,"0/85",""
"GO:0070517","GO:0070517","DNA replication factor C core complex",0,"0/85",""
"GO:0000500","GO:0000500","RNA polymerase I upstream activating factor complex",0,"0/85",""
"GO:0005668","GO:0005668","RNA polymerase transcription factor SL1 complex",0,"0/85",""
"GO:0070860","GO:0070860","RNA polymerase I core factor complex",0,"0/85",""
"GO:0036411","GO:0036411","H-NS-Cnu complex",0,"0/85",""
"GO:0090570","GO:0090570","RNA polymerase I transcription repressor complex",0,"0/85",""
"GO:0090571","GO:0090571","RNA polymerase II transcription repressor complex",0,"0/85",""
"GO:0090572","GO:0090572","RNA polymerase III transcription repressor complex",0,"0/85",""
"GO:0090573","GO:0090573","RNA polymerase IV transcription repressor complex",0,"0/85",""
"GO:0090574","GO:0090574","RNA polymerase V transcription repressor complex",0,"0/85",""
"GO:0110001","GO:0110001","toxin-antitoxin complex",0,"0/85",""
