"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005230","GO:0005230","extracellular ligand-gated ion channel activity","5/79","73/18368",1.54712081279793e-05,0.00234231356460202,0.0017775206977396,"GABRA5/GABRB3/GLRA2/GRIN2B/GABRQ",5
"GO:0015276","GO:0015276","ligand-gated ion channel activity","6/79","143/18368",3.4922335403455e-05,0.00234231356460202,0.0017775206977396,"GABRA5/GABRB3/GLRA2/GRIN2B/RYR2/GABRQ",6
"GO:0022834","GO:0022834","ligand-gated channel activity","6/79","143/18368",3.4922335403455e-05,0.00234231356460202,0.0017775206977396,"GABRA5/GABRB3/GLRA2/GRIN2B/RYR2/GABRQ",6
"GO:0005253","GO:0005253","anion channel activity","5/79","87/18368",3.63149389860778e-05,0.00234231356460202,0.0017775206977396,"GABRA5/GABRB3/GLRA2/SLC1A1/GABRQ",5
"GO:0099095","GO:0099095","ligand-gated anion channel activity","3/79","18/18368",5.96431909621705e-05,0.0030189486495946,0.00229100142319296,"GABRA5/GABRB3/GLRA2",3
"GO:0004890","GO:0004890","GABA-A receptor activity","3/79","19/18368",7.06070087709599e-05,0.0030189486495946,0.00229100142319296,"GABRA5/GABRB3/GABRQ",3
"GO:0005216","GO:0005216","ion channel activity","9/79","432/18368",9.72076799360874e-05,0.0030189486495946,0.00229100142319296,"GABRA5/GABRB3/GLRA2/GRIN2B/RYR2/SCN1A/SLC1A1/GABRQ/UNC80",9
"GO:0016917","GO:0016917","GABA receptor activity","3/79","22/18368",0.000111174730298357,0.0030189486495946,0.00229100142319296,"GABRA5/GABRB3/GABRQ",3
"GO:0030594","GO:0030594","neurotransmitter receptor activity","5/79","111/18368",0.000116239957923559,0.0030189486495946,0.00229100142319296,"GABRA5/GABRB3/GLRA2/GRIN2B/GABRQ",5
"GO:0022824","GO:0022824","transmitter-gated ion channel activity","4/79","60/18368",0.000128714864905196,0.0030189486495946,0.00229100142319296,"GABRA5/GABRB3/GLRA2/GRIN2B",4
"GO:0022835","GO:0022835","transmitter-gated channel activity","4/79","60/18368",0.000128714864905196,0.0030189486495946,0.00229100142319296,"GABRA5/GABRB3/GLRA2/GRIN2B",4
"GO:0097110","GO:0097110","scaffold protein binding","4/79","67/18368",0.000197761388798576,0.00401266769575021,0.00304510890007972,"DLG4/NLGN3/NLGN4X/SHANK3",4
"GO:0015267","GO:0015267","channel activity","9/79","480/18368",0.000214406224107475,0.00401266769575021,0.00304510890007972,"GABRA5/GABRB3/GLRA2/GRIN2B/RYR2/SCN1A/SLC1A1/GABRQ/UNC80",9
"GO:0022803","GO:0022803","passive transmembrane transporter activity","9/79","481/18368",0.000217741657908926,0.00401266769575021,0.00304510890007972,"GABRA5/GABRB3/GLRA2/GRIN2B/RYR2/SCN1A/SLC1A1/GABRQ/UNC80",9
"GO:0005254","GO:0005254","chloride channel activity","4/79","74/18368",0.000290194120913121,0.00499133887970569,0.00378779694665548,"GABRA5/GABRB3/GLRA2/GABRQ",4
"GO:0015103","GO:0015103","inorganic anion transmembrane transporter activity","5/79","152/18368",0.000500362892064975,0.00806835163454773,0.00612286170553194,"GABRA5/GABRB3/GLRA2/SLC1A1/GABRQ",5
"GO:0022836","GO:0022836","gated channel activity","7/79","340/18368",0.000647870372303129,0.00983238565024748,0.00746154112993077,"GABRA5/GABRB3/GLRA2/GRIN2B/RYR2/SCN1A/GABRQ",7
