"","ID","Description","Count","GeneRatio","geneID"
"GO:0000146","GO:0000146","microfilament motor activity",0,"0/85",""
"GO:0003777","GO:0003777","microtubule motor activity",0,"0/85",""
"GO:0061791","GO:0061791","GTPase motor activity",0,"0/85",""
"GO:0140605","GO:0140605","proton motive force-driven motor activity",0,"0/85",""
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/85",""
"GO:0009975","GO:0009975","cyclase activity",0,"0/85",""
"GO:0016491","GO:0016491","oxidoreductase activity",7,"7/85","DHCR24/DIO2/DIO3/DPYD/PAH/TET1/TET3"
"GO:0016740","GO:0016740","transferase activity",5,"5/85","DNMT3A/DNMT3B/TRIP12/NSUN2/UPP2"
"GO:0016787","GO:0016787","hydrolase activity",9,"9/85","CA2/CHD2/DPP6/EPHX2/RELN/IL1RAPL1/DPP10/CHD8/DDHD1"
"GO:0016829","GO:0016829","lyase activity",1,"1/85","CA2"
"GO:0016853","GO:0016853","isomerase activity",1,"1/85","ITGB3"
"GO:0016874","GO:0016874","ligase activity",1,"1/85","DIP2A"
"GO:0032451","GO:0032451","demethylase activity",1,"1/85","JARID2"
"GO:0061783","GO:0061783","peptidoglycan muralytic activity",0,"0/85",""
"GO:0140096","GO:0140096","catalytic activity, acting on a protein",7,"7/85","DNMT3A/DPP6/ITGB3/JARID2/RELN/TRIP12/DPP10"
"GO:0140640","GO:0140640","catalytic activity, acting on a nucleic acid",5,"5/85","CHD2/DNMT3A/DNMT3B/NSUN2/CHD8"
"GO:0003735","GO:0003735","structural constituent of ribosome",0,"0/85",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/85",""
"GO:0005200","GO:0005200","structural constituent of cytoskeleton",0,"0/85",""
"GO:0005201","GO:0005201","extracellular matrix structural constituent",0,"0/85",""
"GO:0005212","GO:0005212","structural constituent of eye lens",0,"0/85",""
"GO:0005213","GO:0005213","structural constituent of egg chorion",0,"0/85",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/85",""
"GO:0008307","GO:0008307","structural constituent of muscle",0,"0/85",""
"GO:0008316","GO:0008316","structural constituent of vitelline membrane",0,"0/85",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/85",""
"GO:0017056","GO:0017056","structural constituent of nuclear pore",0,"0/85",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/85",""
"GO:0030280","GO:0030280","structural constituent of skin epidermis",0,"0/85",""
"GO:0030281","GO:0030281","structural constituent of cutaneous appendage",0,"0/85",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/85",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/85",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/85",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/85",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/85",""
"GO:0097493","GO:0097493","structural molecule activity conferring elasticity",0,"0/85",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/85",""
"GO:0005319","GO:0005319","lipid transporter activity",0,"0/85",""
"GO:0022857","GO:0022857","transmembrane transporter activity",10,"10/85","GABRA5/GABRB3/GLRA2/GRIN2B/RYR2/SCN1A/SLC1A1/SLC16A2/GABRQ/UNC80"
"GO:0140318","GO:0140318","protein transporter activity",0,"0/85",""
"GO:0000035","GO:0000035","acyl binding",0,"0/85",""
"GO:0003682","GO:0003682","chromatin binding",8,"8/85","DLX1/DNMT3A/DNMT3B/JARID2/SOX9/SIN3A/TSHZ3/CHD8"
"GO:0003823","GO:0003823","antigen binding",1,"1/85","DHCR24"
"GO:0005515","GO:0005515","protein binding",61,"61/85","AVPR1A/BDNF/CA2/CDH10/CHD2/CIRBP/DHCR24/DIO2/DLG4/DLX1/DNMT3A/DNMT3B/DPYD/EPHX2/GABRA5/GABRB3/GRIN2B/GTF2I/HFE/ITGB3/MEF2C/MTNR1A/MTNR1B/NTSR1/RELN/RARB/RYR2/SFSWAP/SLC1A1/SOX5/SOX9/TBL1X/USH2A/GPR50/TRIP12/NRXN3/NRXN1/NRXN2/RAI1/IL1RAPL1/CIC/DIP2A/HEY1/SIN3A/CNTNAP2/FOXP1/SNTG2/NLGN3/GABRQ/NLGN4X/TSHZ3/DPP10/CHD8/ROGDI/DDHD1/CTTNBP2/SHANK3/CEP41/IQGAP3/UPP2/TET3"
"GO:0005549","GO:0005549","odorant binding",0,"0/85",""
"GO:0008289","GO:0008289","lipid binding",0,"0/85",""
"GO:0008430","GO:0008430","selenium binding",1,"1/85","DIO2"
"GO:0015643","GO:0015643","toxic substance binding",1,"1/85","EPHX2"
"GO:0019808","GO:0019808","polyamine binding",0,"0/85",""
"GO:0030246","GO:0030246","carbohydrate binding",0,"0/85",""
"GO:0031409","GO:0031409","pigment binding",0,"0/85",""
"GO:0033218","GO:0033218","amide binding",5,"5/85","AVPR1A/DHCR24/GRIN2B/OXTR/RYR2"
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/85",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/85",""
"GO:0036094","GO:0036094","small molecule binding",10,"10/85","CHD2/DHCR24/DPYD/GLRA2/GRIN2B/RYR2/SLC1A1/CHD8/TET1/TET3"
"GO:0042165","GO:0042165","neurotransmitter binding",0,"0/85",""
