"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","0.001678202672485786","6569","MAP2K4","false","MAP2K4"
"0.0","0.004943932566547426","2457","FLNC","false","FLNC"
"0.0","0.023329903770164015","84","PML","true","PML"
"0.0","0.006321420387461393","1646","APP","true","APP"
"0.0","0.0015887314736187945","6763","RBBP8","false","RBBP8"
"0.0","0.001667345850943396","6592","ZDHHC17","false","ZDHHC17"
"0.0","0.01525835254298714","138","MAPK8","true","MAPK8"
"0.0","0.018920833770320857","98","AKT1","true","AKT1"
"0.0","0.018794364138658613","100","MAPK1","true","MAPK1"
"0.0","0.02101355044877413","89","MAPK14","true","MAPK14"
"0.0","0.004553373753114849","2848","MAP3K3","false","MAP3K3"
"0.0","0.0038840131511267357","3715","MAPK10","false","MAPK10"
"0.0","0.010788907059722116","374","ITCH","true","ITCH"
"0.0","0.002007816589042752","6079","NBR1","false","NBR1"
"0.0","0.0040649225278642145","3454","MAPK9","false","MAPK9"
"0.0","0.0029080649077790365","4993","VASP","false","VASP"
"0.0","2.1901085368460446E-4","13124","TNFAIP8L1","false","TNFAIP8L1"
"0.0","0.014787736057434414","146","JUN","true","JUN"
"0.0","0.0014629213965057276","6978","MAP2K7","false","MAP2K7"
"0.0","0.0024002838003523504","5568","MAP3K1","false","MAP3K1"
"0.0","0.011293196191398697","333","MAP3K5","true","MAP3K5"
"0.0","0.005493130247069026","2083","MAP3K7","false","MAP3K7"
"0.0","0.006908755028160448","1352","FBP2","true","FBP2"
"0.0","0.003069282013591473","4721","GEMIN5","false","GEMIN5"
"0.0","0.015933316485935305","120","STX17","true","STX17"
"0.0","0.0054381501679540145","2124","FLNB","false","FLNB"
"0.0","0.0011568600267926625","7846","MAP3K4","false","MAP3K4"
"0.0","0.005762224773679266","1916","ALDOB","true","ALDOB"
"0.0","0.00857889416008005","745","CYLC2","true","CYLC2"
"0.0","8.361479075234174E-5","15813","KTI12","false","KTI12"
"0.0","0.002966631179968079","4895","SRSF9","false","SRSF9"
