"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","7.445255871597596E-5","18502","AIRN","false","AIRN"
"0.0","1.4450639005960184E-6","19551","OR51B2","false","OR51B2"
"0.0","1.8992260456752373E-4","16374","FECD3","false","FECD3"
"0.0","3.536864606989667E-5","19119","LCN1P1","false","LCN1P1"
"0.0","9.198769351024534E-5","18187","MIR302A","false","MIR302A"
"0.0","8.236838797289325E-5","18336","ACTA2-AS1","false","ACTA2-AS1"
"0.0","9.198769351024534E-5","18186","MIR378A","false","MIR378A"
"0.0","3.4175668318679766E-5","19133","LIPI","false","LIPI"
"0.0","1.5045995109067088E-4","16804","USP17L18","false","USP17L18"
"0.0","1.515166676152153E-4","16793","GPER1","false","GPER1"
"0.0","1.922170120966526E-5","19340","SPATA31D3","false","SPATA31D3"
"0.0","3.1514304044996607E-6","19515","HMX2","false","HMX2"
"0.0","3.203628711846963E-6","19513","TMEM158","false","TMEM158"
"0.0","6.817790257214522E-5","18601","TAS2R20","false","TAS2R20"
"0.0","1.549302455908532E-4","16751","ZNF682","false","ZNF682"
"0.0","2.7633200660897645E-5","19209","OPN5","false","OPN5"
"0.0","4.194516122495146E-5","19008","MAS1L","false","MAS1L"
"0.0","3.752241030511909E-5","19084","RPSAP52","false","RPSAP52"
"0.0","1.549302455908532E-4","16750","ZNF527","false","ZNF527"
"0.0","2.6689553418628844E-5","19227","SLC35E2B","false","SLC35E2B"
"0.0","1.4050068775661223E-6","19552","S100A5","false","S100A5"
"0.0","4.382381333828513E-6","19499","OR3A1","false","OR3A1"
"0.0","0.0033828883442270684","9342","TMEM151A","false","TMEM151A"
"0.0","2.1468743793967786E-7","19603","GPR65","false","GPR65"
"0.0","6.957904279945431E-5","18577","ADAMTS14","false","ADAMTS14"
"0.0","3.639904467667328E-5","19101","GPR83","false","GPR83"
"0.0","2.986684043664921E-4","15245","COX7B2","false","COX7B2"
"0.0","2.605264094853317E-5","19240","FAM181A","false","FAM181A"
"0.0","2.4317756744369313E-4","15798","GLYATL1","false","GLYATL1"
"0.0","8.290018526138052E-5","18332","MRGPRX4","false","MRGPRX4"
"0.0","1.8245876469151456E-5","19348","EPHX3","false","EPHX3"
"0.0","5.681655575467828E-5","18812","SGPP2","false","SGPP2"
"0.0","1.549302455908532E-4","16749","ZNF799","false","ZNF799"
"0.0","8.093853385322453E-5","18362","CALHM2","false","CALHM2"
"0.0","3.3540389855749904E-5","19142","PRSS27","false","PRSS27"
"0.0","2.0270906575588826E-4","16197","TMEM204","false","TMEM204"
"0.0","2.717928233159524E-4","15486","ERVMER34-1","false","ERVMER34-1"
"0.0","1.2361790983289786E-5","19423","FCGR1C","false","FCGR1C"
"0.0","1.0921107391815358E-5","19445","REG3G","false","REG3G"
"0.0","0.004953381432577258","7517","FIBIN","false","FIBIN"
"0.0","8.126020627984349E-7","19570","RBMY1B","false","RBMY1B"
"0.0","0.008007901771826031","5254","ZNF252P-AS1","false","ZNF252P-AS1"
"0.0","1.5009364087000722E-4","16878","ST8SIA2","false","ST8SIA2"
"0.0","0.004390190717838257","8289","TRGV3","false","TRGV3"
