"diffusion_input","diffusion_output_heat","diffusion_output_rank","name","selected","shared name"
"0.0","0.0023703285763220098","10409","MAP2K4","false","MAP2K4"
"0.0","0.012694915260716417","3283","FLNC","false","FLNC"
"0.0","0.012534459271698495","3352","SPAG9","false","SPAG9"
"0.0","0.00903402557167729","4904","MAPK8","false","MAPK8"
"0.0","0.005076719826774331","7629","MAP4K2","false","MAP4K2"
"0.0","9.623300718498577E-4","12224","MAP3K8","false","MAP3K8"
"0.0","0.02643680597034557","701","AKT1","true","AKT1"
"0.0","0.001776471804500134","10974","MAPK8IP3","false","MAPK8IP3"
"0.0","0.009086257747435133","4876","MAP3K11","false","MAP3K11"
"0.0","0.013450194884740755","2986","MAP3K4","false","MAP3K4"
"0.0","0.03391074152236326","401","ARRB2","true","ARRB2"
"0.0","0.0035887098867740954","9477","MAP3K2","false","MAP3K2"
"0.0","0.007049224978937459","6098","MAP3K1","false","MAP3K1"
"0.0","0.017825741140441012","1844","ITCH","true","ITCH"
"0.0","0.014751493686230882","2580","MAPK9","false","MAPK9"
"0.0","0.0016488954735969735","11136","BLNK","false","BLNK"
"0.0","0.023956008322739003","937","PML","true","PML"
"0.0","0.00616603500007083","6657","MAPK10","false","MAPK10"
"0.0","0.007419268489050624","5904","MAP3K5","false","MAP3K5"
"0.0","0.0032420819378750805","9760","MAP2K6","false","MAP2K6"
"0.0","0.018876794076332547","1661","MAPK14","true","MAPK14"
"0.0","0.006786577874992422","6269","MAP3K3","false","MAP3K3"
"0.0","0.02151101649080905","1228","LRRK2","true","LRRK2"
"0.0","0.02355691049226344","977","APP","true","APP"
"0.0","0.0036426748593200776","9429","MAP2K7","false","MAP2K7"
"0.0","0.02571634204015792","765","JUN","true","JUN"
"0.0","0.01585800712774231","2282","MAP3K7","false","MAP3K7"
"0.0","0.028378727160382047","580","ARRB1","true","ARRB1"
"0.0","0.023397723457397716","1001","MAPK1","true","MAPK1"
"0.0","0.004829681676814447","7936","GCH1","false","GCH1"
"0.0","0.014205295506778091","2758","GEMIN5","false","GEMIN5"
"0.0","0.010477967356405948","4192","RBBP8","false","RBBP8"
"0.0","0.025980295018297662","737","EGFR","true","EGFR"
"0.0","0.01092371226146312","4003","MAP3K10","false","MAP3K10"
"0.0","0.00857999905001184","5201","NBR1","false","NBR1"
"0.0","4.1663838116583017E-4","14464","KTI12","false","KTI12"
"0.0","0.014709576725387702","2591","VASP","false","VASP"
"0.0","0.02211303333781368","1148","FLNB","true","FLNB"
"0.0","0.03228905735109964","432","CDC5L","true","CDC5L"
"0.0","0.02780029815472152","610","UBC","true","UBC"
"0.0","0.02436784435756851","896","TRIM25","true","TRIM25"
"0.0","0.032383235729372434","428","APEX1","true","APEX1"
"0.0","0.03133246541062181","463","PLEKHA4","true","PLEKHA4"
"0.0","0.0211800887229688","1281","AGO2","true","AGO2"
"0.0","0.028137949429941453","592","HSCB","true","HSCB"
"0.0","0.011741050153276963","3663","ALDOB","false","ALDOB"
"0.0","0.00412370060806888","8900","CYLC2","false","CYLC2"
"0.0","0.002706508675365691","10135","FBP2","false","FBP2"
"0.0","0.009370750920758866","4713","STX17","false","STX17"
"0.0","0.02018354535821337","1443","SH3RF3","true","SH3RF3"
"0.0","0.016932191733124245","2032","ZDHHC17","false","ZDHHC17"
"0.0","7.181509720471424E-4","12947","TNFAIP8L1","false","TNFAIP8L1"
"0.0","0.0011073499728361203","11905","CAPN3","false","CAPN3"
"0.0","1.626040417555557E-4","16777","SGCD","false","SGCD"
"0.0","5.880208875748544E-4","13515","SGCG","false","SGCG"
"0.0","0.0018081907242706882","10933","MYOZ1","false","MYOZ1"
"0.0","0.00410481016890157","8920","KCND2","false","KCND2"
"0.0","7.63602017313549E-4","12770","MYOZ2","false","MYOZ2"
"0.0","0.009094331009578592","4867","MYOZ3","false","MYOZ3"
"0.0","0.02020123999388144","1441","PHLDB2","true","PHLDB2"
"0.0","6.17873493282872E-4","13372","MYOT","false","MYOT"
"0.0","0.021915709319462427","1173","INPPL1","true","INPPL1"
"0.0","0.0016946422397265753","11079","OTUD1","false","OTUD1"
"0.0","0.010591983625941787","4143","OTUD4","false","OTUD4"
"0.0","0.001961691932182817","10769","USP53","false","USP53"
"0.0","0.002295410923328248","10472","USP25","false","USP25"
